# binIdx ctxIdx symbol range offset
757 -1 1 339 94
758 -1 0 339 188
759 -1 1 339 38
760 -1 0 339 77
761 -1 0 339 154
762 247 1 309 154
763 256 1 294 154
764 256 1 280 154
765 256 1 266 154
766 256 1 506 308
767 256 1 485 308
768 256 1 465 308
769 256 1 446 308
770 256 1 431 308
771 256 1 416 308
772 256 1 402 308
773 256 1 389 308
774 256 1 377 308
775 256 1 367 308
776 -1 1 367 250
777 -1 1 367 134
778 -1 0 367 268
779 -1 1 367 169
780 -1 0 367 338
781 -1 1 367 310
782 247 1 339 310
783 256 1 330 310
784 256 1 321 310
785 256 1 312 310
786 256 0 448 360
787 -1 1 448 272
788 247 1 411 272
789 256 1 381 272
790 256 1 357 272
791 256 1 334 272
792 256 1 312 272
793 256 1 295 272
794 256 1 279 272
795 256 0 480 268
796 -1 1 480 57
797 247 1 445 57
798 256 1 402 57
799 256 1 361 57
800 256 1 328 57
801 256 1 297 57
802 256 1 273 57
803 256 1 500 115
804 256 1 463 115
805 256 1 428 115
806 256 1 399 115
807 256 1 372 115
808 256 1 350 115
809 256 1 329 115
810 256 1 309 115
811 -1 0 309 231
812 -1 1 309 154
813 247 1 289 154
814 256 1 274 154
815 256 1 260 154
816 256 1 492 309
817 256 1 470 309
818 256 1 449 309
819 256 1 429 309
820 256 1 413 309
821 256 1 398 309
822 256 1 383 309
823 256 1 371 309
824 256 1 360 309
825 256 1 349 309
826 256 1 339 309
827 -1 1 339 280
828 -1 1 339 222
829 -1 1 339 106
830 -1 0 339 212
831 -1 1 339 85
832 -1 0 339 170
833 -1 1 339 1
834 -1 0 339 2
835 96 1 317 2
836 134 1 295 2
837 195 0 289 2
838 135 1 504 5
839 196 0 495 5
840 136 1 442 5
841 197 0 434 5
842 137 1 339 5
843 198 0 332 5
844 138 1 279 5
845 199 0 273 5
846 139 1 440 11
847 200 0 432 11
848 140 1 272 11
849 201 0 266 11
850 141 1 414 22
851 202 0 406 22
852 142 1 316 22
853 203 0 310 22
854 143 1 488 45
855 204 0 471 45
856 144 1 372 45
857 205 0 359 45
858 145 1 510 91
859 206 0 489 91
860 146 1 361 91
861 207 0 337 91
862 147 1 454 182
863 208 0 411 182
864 148 1 311 182
865 209 0 490 364
866 248 1 300 49
867 252 1 504 98
868 252 1 428 98
869 252 1 365 98
870 252 1 315 98
871 252 1 276 98
872 252 1 478 197
873 252 1 419 197
874 252 1 371 197
875 252 1 332 197
876 252 1 295 197
877 252 1 266 197
878 252 1 478 395
879 252 1 435 395
880 -1 1 435 356
881 -1 1 435 277
882 -1 1 435 120
883 -1 0 435 240
884 -1 1 435 45
885 -1 0 435 90
886 -1 0 435 180
887 -1 0 435 360
888 247 1 408 360
889 253 0 444 255
890 -1 1 444 66
891 247 1 418 66
892 254 1 337 66
893 254 1 272 66
894 254 1 442 133
895 254 1 373 133
896 254 1 317 133
897 254 1 274 133
898 254 1 466 266
899 254 1 401 266
900 254 1 347 266
901 254 1 304 266
902 254 1 271 266
903 254 0 256 220
904 -1 1 256 184
905 247 1 478 369
906 255 1 450 369
907 255 1 423 369
908 255 1 401 369
909 255 1 380 369
910 255 0 272 96
911 -1 0 272 193
912 247 1 256 193
913 256 1 496 387
914 256 1 484 387
915 256 1 472 387
916 256 1 461 387
917 256 1 450 387
918 256 1 440 387
919 256 1 432 387
920 256 1 424 387
921 256 1 416 387
922 256 1 408 387
923 256 1 400 387
924 256 1 392 387
925 256 0 256 105
926 -1 0 256 210
927 247 1 482 421
928 256 1 449 421
929 256 0 496 50
930 -1 0 496 101
931 247 1 472 101
932 256 1 419 101
933 256 1 376 101
934 256 1 341 101
935 256 1 308 101
936 256 1 282 101
937 256 1 258 101
938 256 1 470 203
939 256 1 433 203
940 256 1 403 203
941 256 1 374 203
942 256 1 351 203
943 256 1 329 203
944 256 1 308 203
945 -1 1 308 98
946 -1 0 308 197
947 -1 1 308 86
948 -1 0 308 172
949 247 1 294 172
950 256 1 278 172
951 256 1 263 172
952 256 1 498 345
953 256 1 475 345
954 256 1 453 345
955 256 1 432 345
956 256 1 415 345
957 256 1 399 345
958 256 1 384 345
959 256 1 369 345
960 256 1 357 345
961 256 1 346 345
962 256 0 352 326
963 -1 1 352 300
964 247 1 336 300
965 256 1 308 300
966 256 0 352 229
967 -1 1 352 106
968 247 1 337 106
969 256 1 294 106
970 256 1 261 106
971 256 1 458 212
972 256 1 408 212
973 256 1 367 212
974 256 1 334 212
975 256 1 303 212
976 256 1 279 212
977 256 1 256 212
978 256 1 468 424
979 256 1 433 424
980 256 0 464 335
981 -1 1 464 206
982 247 1 444 206
983 256 1 396 206
984 256 1 350 206
985 256 1 313 206
986 256 1 284 206
987 256 1 257 206
988 256 1 462 412
989 256 1 421 412
990 256 0 264 195
991 -1 1 264 126
992 247 1 506 252
993 256 1 444 252
994 256 1 393 252
995 256 1 345 252
996 256 1 306 252
997 256 1 276 252
998 256 0 464 84
999 -1 0 464 169
1000 247 1 446 169
1001 256 1 387 169
1002 256 1 331 169
1003 256 1 286 169
1004 256 1 502 338
1005 256 1 446 338
1006 256 1 400 338
1007 256 1 357 338
1008 256 0 280 135
1009 -1 0 280 270
1010 247 0 320 30
1011 -1 0 320 61
1012 247 1 290 61
1013 256 1 498 122
1014 256 1 433 122
1015 256 1 379 122
1016 256 1 336 122
1017 256 1 295 122
1018 256 1 263 122
1019 256 1 466 245
1020 256 1 418 245
1021 256 1 379 245
1022 256 1 348 245
1023 256 1 318 245
1024 256 1 295 245
1025 256 1 273 245
1026 -1 1 273 218
1027 -1 1 273 163
1028 -1 1 273 54
1029 -1 0 273 109
