# binIdx ctxIdx symbol range offset
512 5 1 314 0
513 6 0 301 0
514 7 0 291 0
515 9 0 265 0
516 10 0 259 0
517 64 0 500 1
518 60 0 491 1
519 85 0 426 1
520 5 1 410 1
521 6 0 393 1
522 7 0 380 1
523 9 0 350 1
524 10 0 343 1
525 64 0 333 1
526 60 0 326 1
527 85 0 281 1
528 5 1 270 1
529 6 0 258 1
530 7 0 498 2
531 9 0 459 2
532 10 0 450 2
533 64 0 437 2
534 60 0 429 2
535 85 0 378 2
536 5 1 365 2
537 6 0 351 2
538 7 0 341 2
539 9 0 314 2
540 10 0 308 2
541 64 0 301 2
542 60 0 295 2
543 85 0 262 2
544 5 1 504 4
545 6 0 487 4
546 7 0 474 4
547 9 0 439 4
548 10 0 431 4
549 64 0 421 4
550 60 0 413 4
551 85 0 367 4
552 5 1 356 4
553 6 0 343 4
554 7 0 334 4
555 9 0 310 4
556 10 0 304 4
557 64 0 297 4
558 60 0 291 4
559 85 0 261 4
560 5 1 504 9
561 6 0 488 9
562 7 0 476 9
563 9 0 445 9
564 10 0 437 9
565 64 0 428 9
566 60 0 420 9
567 85 0 379 9
568 5 1 368 9
569 6 0 357 9
570 7 0 349 9
571 9 0 327 9
572 10 0 320 9
573 64 0 313 9
574 60 0 307 9
575 85 0 280 9
576 5 1 271 9
577 6 0 262 9
578 7 0 256 9
579 9 0 478 18
580 10 0 469 18
581 64 0 460 18
582 60 0 451 18
583 85 0 408 18
584 5 1 397 18
585 6 0 385 18
586 7 0 376 18
587 9 0 356 18
588 10 0 349 18
589 64 0 342 18
590 60 0 335 18
591 85 0 305 18
592 5 1 297 18
593 6 0 288 18
594 7 0 282 18
595 9 0 267 18
596 10 0 261 18
597 64 0 510 36
598 60 0 501 36
599 85 0 462 36
600 5 1 451 36
601 6 0 438 36
602 7 0 430 36
603 9 0 409 36
604 10 0 401 36
605 64 0 393 36
606 60 0 385 36
607 85 0 353 36
608 5 1 344 36
609 6 0 335 36
610 7 0 328 36
